日文,中文,获得方法,编号,类型,网易云,网易云类型（0无、2音乐、3电台）
イマジネーション ～蒼天聖戦 魔科学研究所～（Piano Collections）,异想天开（钢琴集）,道具商城购买或者作为商品附加特典道具获得,51,12,1350493763,2
紅の夜更け ～クガネ：夜～（Piano Collections）,红色夜阑（钢琴集）,道具商城购买或者作为商品附加特典道具获得,52,12,1350493767,2
ゴルベーザ四天王とのバトル ～禁断の記憶～,高贝扎四天王之战　～禁断的记忆～,道具制作<br />主要素材：晓月篇主线剧情相关的高难度讨伐战“？？？？歼殛战”获得 <br />（以最低品级参加时获得概率上升）,50,5,2006232302,2
トロイア国 ～暁月～,特罗亚国　～晓月～,“异界孤城特罗亚宫廷”获得,23,4,2006232301,2
バトル2（FINAL FANTASY IV） ～暁月～,战斗2（最终幻想IV）　～晓月～,“异界孤城特罗亚宫廷”获得,24,4,2006232300,2
ザナラーンの熱砂 ～異聞シラディハ水道～,萨纳兰的热沙,旧萨雷安交换,27,4,2145043002,2
Silent Scream ～万魔殿パンデモニウム：煉獄編～,无声尖叫,“万魔殿 炼净之狱1”获得,42,7,2145041499,2
Scream ～万魔殿パンデモニウム：煉獄編～,尖叫,“万魔殿 炼净之狱2～3”获得,43,7,2006230531,2
Embers ～万魔殿パンデモニウム：煉獄編～,其火尚存,“万魔殿 炼净之狱4”获得,44,7,2145043008,2
White Stone Black ～万魔殿パンデモニウム：煉獄編～,相白质黑,“零式万魔殿 炼净之狱4”获得,45,7,2006230532,2
冒険者の休息 ～無人島開拓～,冒险途中的小憩,无名岛交换,46,10,2145043003,2
豊かなる島 ～無人島開拓～,丰饶之岛,无名岛交换,47,10,2145043004,2
揺籃の輝星,天边的瑶星,A4调查平台交换,44,2,2145043006,2
エオルゼア de チョコボ,艾欧泽亚陆行鸟,住宅区出售,1,10,28409315,2
双蛇党統合司令部,蛇巢司令部,蛇巢司令部交换,75,1,27586690,2
黒渦団軍令部,黑涡军令部,黑涡军令部交换,76,1,27586689,2
不滅隊作戦本部,恒辉作战总部,恒辉作战总部交换,77,1,27586691,2
露の玉、月の光,露水之玉，明月之光,蛇巢司令部交换,6,9,27586696,2
洋上の小波,海上涟漪,黑涡军令部交换,7,9,27586694,2
砂の機密,沙中秘密,恒辉作战总部交换,8,9,27586695,2
仇敵,同仇敌忾,天穹街交换,51,5,34274420,2
鐘声 ～強硬突入 イシュガルド教皇庁～,钟声,“圣教中枢伊修加德教皇厅”获得,33,3,2515403227,3
聖痕 ～強硬突入 イシュガルド教皇庁～,圣痕,“圣教中枢伊修加德教皇厅”获得,35,3,2515472218,3
魔導の軍勢 ～外郭攻略 カストルム?メリディアヌム～,魔导军团,加雷马交换,10,3,2515419229,3
魔導城プラエトリウム ～最終決戦 魔導城プラエトリウム～,天幕之下,加雷马交换,11,3,2515408195,3
千の悲鳴 ～監獄廃墟 トトラクの千獄～,千声悲鸣,“监狱废墟托托·拉克千狱”获得,4,3,2515408196,3
野営地のお調子者 ～奪還支援 ブレイフロクスの野営地～,莫要在野营地撒野,“休养胜地布雷福洛克斯野营地”获得,6,3,2515405230,3
Shuffle or Boogie,夏弗还是布吉,金碟游乐场交换,16,10,22755813,2
Close in the Distance（Beyond the Shadow）,近在天边（超越暗影）,道具商城购买或者作为商品附加特典道具获得,53,12,2157800582,2
此処に獅子あり ～万魔殿パンデモニウム：辺獄編～（Beyond the Shadow）,此处有狮（超越暗影）,道具商城购买或者作为商品附加特典道具获得,54,12,2157799576,2
無音,环境音：无声,住宅区出售,14,8,2515453206,3
Forged in Crimson ～紅蓮の求道者～,魂火铸就,道具制作<br />主要素材：晓月篇主线剧情相关的高难度讨伐战“？？？？歼殛战”获得 <br />（以最低品级参加时获得概率上升）,52,5,2055267237,2
Dreamwalker,梦明旅人,希望的货舱交换,45,2,2145041507,2
青が灯る洞 ～雪山冥洞 ラピス?マナリス～,洞中青辉,“雪山奥窟冥魂石洞”获得,28,4,2055267236,2
禁断の地 エウレカ ～暁月～,禁地优雷卡　～晓月～,“正统优雷卡”中埋藏的宝藏获得,29,4,2145041510,2
神々の寵愛 ～喜びの神域 エウプロシュネ～,众神的宠爱,“喜悦神域欧芙洛绪涅”获得,46,7,2055269902,2
躍動する大地 ～喜びの神域 エウプロシュネ～,跃动的大地,“喜悦神域欧芙洛绪涅”获得,47,7,2055267235,2
月満ちる夜 ～喜びの神域 エウプロシュネ～,满月之夜,“喜悦神域欧芙洛绪涅”获得,48,7,2055269903,2
勝利のファンファーレ ～新生～,胜利的号角　～重生～,寻宝获得,48,10,28409333,2
危険なる妙技,险技,寻宝获得,74,3,864489061,2
古城にて…… ～邪教排撃 古城アムダプール～,古城墙内,“邪教驻地无限城古堡”获得,71,3,2521990915,3
昔日の残響 ～遺跡探索 カルン埋没寺院～,昔日的回响,“古代遗迹喀恩埋没圣堂”获得,68,3,2521980929,3
極寒戦線 ～城塞攻略 ストーンヴィジル～,极寒战线,“对龙城塞石卫塔”获得,69,3,2522003861,3
守銭奴の愚行 ～霧中行軍 オーラムヴェイル～,守财奴的愚行,“毒雾洞窟黄金谷”获得,70,3,2521953287,3
落日の遺跡 ～遺跡救援 カルン埋没寺院～,落日遗迹,“苏醒遗迹喀恩埋没圣堂”获得,72,3,34274400,2
聖なる助言者,神圣的教导,“黑涡传说破舰岛”获得,73,3,482636413,2
駆け引き,进退,季节活动报酬,23,11,27586651,2
Pa-Paya Demastered,啪啪呀降质版,季节活动报酬,24,11,864489058,2
バトル1 from FINAL FANTASY IV,战斗1（最终幻想IV）,希望的货舱交换,46,2,1923178392,2
隠し財宝を求めて,掠夺者的财宝,“正统优雷卡”中埋藏的宝藏获得,75,3,28409327,2
クリスタルの雨,水晶雨,“正统优雷卡”中埋藏的宝藏获得,78,1,28409381,2
無常の喜び,极乐,住宅区出售,52,9,28409293,2
哀愁,哀愁,住宅区出售,53,9,27586659,2
夢見るは遙かなる空,梦中的天空,潜水艇探索获得,54,9,27586697,2
To the Edge（Orchestral）,末路尽头（交响乐版）,道具商城购买或者作为商品附加特典道具获得,55,12,2117567648,2
Flow（Orchestral）,生如归流（交响乐版）,道具商城购买或者作为商品附加特典道具获得,56,12,2117567650,2
一方その頃 ～蠢く野心～,与此同时　～野心蠢动～,任务报酬,55,9,2145041492,2
もう一つの月 ～暁月～,另一个月亮　～晓月～,任务报酬,47,2,2145041533,2
ヴォイドの救済者,虚无界的救赎者,道具制作<br />主要素材：“高贝扎歼殛战”获得 <br />（以最低品级参加时获得概率上升）,53,5,2525085487,2
涼やかなる洞窟 ～無人島開拓～,清凉的洞窟,无名岛交换,59,10,2145043005,2
新生の鼓動,重生的大地,季节活动报酬,25,11,2145041515,2
天より降りしポンポン,天降之绒,季节活动报酬,26,11,2145041516,2
星のため息 ～星霊間欠 ハーム島～,星球的叹息,“间歇灵泉哈姆岛”获得,30,4,2118118619,2
紅のリッジライン ～異聞六根山～,红色山棱,旧萨雷安交换,31,4,2145043068,2
One Amongst the Weary ～万魔殿パンデモニウム：天獄編～,疲惫不堪,“万魔殿 荒天之狱1～2”获得,49,7,2118121374,2
Fleeting Moment ～万魔殿パンデモニウム：天獄編～,转瞬即逝,“万魔殿 荒天之狱3”获得,50,7,2118121375,2
"Athena, the Tireless One ～万魔殿パンデモニウム：天獄編～",不倦之人雅典娜,“万魔殿 荒天之狱4”获得,51,7,2118121376,2
Ultema The Perfect Body! ～暁月～,阿尔蒂玛完美形态　～晓月～,“零式万魔殿 荒天之狱4”获得,52,7,2118121377,2
バトル2 from FINAL FANTASY III,战斗2（最终幻想III）,乌尔达哈交换,50,10,4952896,2
辺境の乱戦,边境乱战,旧萨雷安交换,79,1,864433977,2
不穏な気配,险恶,利姆萨·罗敏萨、乌尔达哈、格里达尼亚三国冒险者行会出售,56,9,28409294,2
堂々巡り,思维迷路,利姆萨·罗敏萨、乌尔达哈、格里达尼亚三国冒险者行会出售,57,9,28409343,2
英雄の凱旋,英雄凯旋,利姆萨·罗敏萨、乌尔达哈、格里达尼亚三国冒险者行会出售,58,9,28409299,2
混沌の予感,混沌的预感,利姆萨·罗敏萨、乌尔达哈、格里达尼亚三国冒险者行会出售,59,9,28409371,2
軍議,军略,利姆萨·罗敏萨、乌尔达哈、格里达尼亚三国冒险者行会出售,60,9,28409396,2
破滅,破灭,利姆萨·罗敏萨、乌尔达哈、格里达尼亚三国冒险者行会出售,61,9,28409375,2
奸計,奸计,利姆萨·罗敏萨、乌尔达哈、格里达尼亚三国冒险者行会出售,62,9,28409388,2
静かなる一刻,恬静一刻,利姆萨·罗敏萨、乌尔达哈、格里达尼亚三国冒险者行会出售,63,9,27586665,2
我が魂を捧げて,献上我的灵魂,格里达尼亚旧街交换,76,3,28409349,2
メテオ,陨石,格里达尼亚旧街交换,64,9,34274376,2
最後の闘い（FINAL FANTASY IV） ～暁月～,最后之战　～晓月～,道具制作<br />主要素材：“泽罗姆斯歼殛战”获得 <br />（以最低品级参加时获得概率上升）,54,5,2145043094,2
Shadowbringers（Orchestral）,暗影使者（交响乐版）,道具商城购买或者作为商品附加特典道具获得,57,12,2117567647,2
ENDCALLER ～ゾディアーク討滅戦～（Orchestral）,呼唤终结之神（交响乐版）,道具商城购买或者作为商品附加特典道具获得,58,12,2117560624,2
Your Answer ～ハイデリン討滅戦～（Orchestral）,你的答案（交响乐版）,道具商城购买或者作为商品附加特典道具获得,59,12,2117560625,2
Close in the Distance（Orchestral）,近在天边（交响乐版）,道具商城购买或者作为商品附加特典道具获得,60,12,2117567649,2
終焉の戦い（Orchestral）,终结之战（交响乐版）,道具商城购买或者作为商品附加特典道具获得,61,12,2117567651,2
アンブレーカブル ～博物戦艦 フラクタル?コンティニアム～（Pulse）,坚不可摧（脉动电音）,道具商城购买或者作为商品附加特典道具获得,62,12,1486751993,2
女神 ～女神ソフィア討滅戦～（Pulse）,平衡（脉动电音）,道具商城购买或者作为商品附加特典道具获得,63,12,1486755313,2
美の謀略 ～蛮神ラクシュミ討滅戦～（Pulse）,阴谋美计（脉动电音）,道具商城购买或者作为商品附加特典道具获得,64,12,1486751997,2
偉大なる母港 ～リムサ?ロミンサ～（Pulse）,伟大的母港（脉动电音）,道具商城购买或者作为商品附加特典道具获得,65,12,1486755312,2
ロングフォール ～異界遺構 シルクス?ツイニング～（Pulse）,一瞬千里（脉动电音）,道具商城购买或者作为商品附加特典道具获得,66,12,1486751990,2
赤い翼 ～暁月～,赤翼　～晓月～,道具制作<br />主要素材：“泽罗姆斯歼殛战”获得 <br />（以最低品级参加时获得概率上升）,55,5,2145043095,2
To the Edge（Forge Ahead）,末路尽头（继续前进）,道具商城购买或者作为商品附加特典道具获得,67,12,2116458251,2
White Stone Black ～万魔殿パンデモニウム：煉獄編～（Forge Ahead）,相白质黑（继续前进）,道具商城购买或者作为商品附加特典道具获得,68,12,2116456597,2
Scream ～万魔殿パンデモニウム：煉獄編～（Forge Ahead）,尖叫（继续前进）,道具商城购买或者作为商品附加特典道具获得,69,12,2116456600,2
命の天秤 ～輝ける神域 アグライア～（Forge Ahead）,生命的天平（继续前进）,道具商城购买或者作为商品附加特典道具获得,70,12,2116456599,2
"Athena, the Tireless One ～万魔殿パンデモニウム：天獄編～（Forge Ahead）",不倦之人雅典娜（继续前进）,道具商城购买或者作为商品附加特典道具获得,71,12,2116458253,2
Flow（Forge Ahead）,生如归流（继续前进）,道具商城购买或者作为商品附加特典道具获得,72,12,2116458241,2
古の御空 ～エルピスメドレー～（Forge Ahead）,远古的昊空 ～厄尔庇斯混曲～（继续前进）,道具商城购买或者作为商品附加特典道具获得,73,12,2116458244,2
ハピネスキャロット ～楽園都市 スマイルトン～（Forge Ahead）,开开心心胡萝卜（继续前进）,道具商城购买或者作为商品附加特典道具获得,74,12,2116456593,2
迷宮 ～ラヴィリンソス：昼～（Forge Ahead）,迷津（继续前进）,道具商城购买或者作为商品附加特典道具获得,75,12,2116458246,2
月満ちる夜 ～喜びの神域 エウプロシュネ～（Amanda Achen Vocals）,满月之夜（Amanda Achen演唱版）,道具商城购买或者作为商品附加特典道具获得,76,12,2116458249,2
Tonitrua ex Machina,解围之雷,季节任务报酬,27,11,2077791228,2
Idylls of the Empire,皇国田园,季节任务报酬,28,11,2077791232,2
Forevermore - The Grand Duchy of Rosaria,永远 - 罗扎利亚公国,季节任务报酬,29,11,2077791246,2
Before the Storm - Caer Norvent,风暴之前 - 诺旺堡,季节任务报酬,30,11,2077791233,2
The State of the Realm,世界局势,季节任务报酬,31,11,2077790332,2
月満ちる夜 ～喜びの神域 エウプロシュネ～（Forge Ahead）,满月之夜（继续前进）,道具商城购买或者作为商品附加特典道具获得,77,12,2116456594,2
命の天秤 ～輝ける神域 アグライア～（Amanda Achen Vocals）,生命的天平（Amanda Achen演唱版）,道具商城购买或者作为商品附加特典道具获得,78,12,2116458250,2
バロン王国 ～暁月～,巴隆王国　～晓月～,“异界深渊月面地下溪谷”获得,32,4,2153750950,2
ときめき紳士エスコート,让真相大白于世,任务报酬,67,9,2145043109,2
願いは追い風となりて ～華めく神域 タレイア～,心愿如风随行,“荣华神域塔利亚”获得,54,7,2153750951,2
熱情の奔流 ～華めく神域 タレイア～,热情的奔流,“荣华神域塔利亚”获得,55,7,2145041560,2
Myths of the Realm ～華めく神域 タレイア～,艾欧泽亚神话,“荣华神域塔利亚”获得,56,7,2145041561,2
神子の微睡み ～アロアロ島～,神子的假寐,旧萨雷安交换,33,4,2145043106,2
神子の狩猟祭 ～異聞アロアロ島～,神子的狩猎,旧萨雷安交换,34,4,2145043107,2
槍旗,枪旗飘扬,潜水艇探索获得,65,9,34274401,2
豪勇の士,不屈不挠,潜水艇探索获得,66,9,28409350,2
Who I Really Am,真正的自我,季节任务报酬,32,11,2077790325,2
Away（Refrain）,向远方（副歌）,季节任务报酬,33,11,2077790323,2
To Sail Forbidden Seas,禁海危航,季节任务报酬,34,11,2077790347,2
Find the Flame,寻火,季节任务报酬,35,11,2077790324,2
Land of Eikons,召唤兽之地,季节任务报酬,36,11,2077790294,2
Everybody Falls,快快落落糖豆人,季节任务报酬,37,11,1467035132,2
プヌティーの川上り,海牛逆流而上,金曦篇主线剧情相关的迷宫挑战获得,35,4,3062198043,3
雲衝く高峰,高耸入云,金曦篇主线剧情相关的迷宫挑战获得,36,4,3062215036,3
樹海に沈む夢,树海深处之梦,金曦篇主线剧情相关的迷宫挑战获得,37,4,3062222015,3
火花と閃光,火花与闪光,金曦篇主线剧情相关的迷宫挑战获得,38,4,3062200058,3
生命の解体,解剖生命,金曦篇主线剧情相关的迷宫挑战获得,39,4,3062218027,3
終わりなき軌跡,无尽的旅路,金曦篇主线剧情相关的迷宫挑战获得,40,4,2623747988,2
赤き大地の恵み,红土大地的恩惠,金曦篇主线剧情结束后开放的迷宫挑战获得,41,4,2618757164,2
月なきみそらの道化師たち ～黄金～,不见月明的小丑　～金曦～,金曦篇主线剧情结束后开放的迷宫挑战获得,42,4,3062226044,3
The Skyruin,天灾,道具制作<br />主要素材：金曦篇主线剧情相关的高难度讨伐战“？？？？歼殛战”获得（以最低品级参加时获得概率上升）,56,5,2618757168,2
レゾンデートル,存在的理由,道具制作<br />主要素材：金曦篇主线剧情相关的高难度讨伐战“？？？？歼殛战”获得 <br />（以最低品级参加时获得概率上升）,57,5,3062211044,3
It's Showtime! ～至天の座アルカディア：ライトヘビー級～,It's Showtime!,“阿卡狄亚登天斗技场 轻量级1”获得,57,7,3062154047,3
Bee My Honey ～至天の座アルカディア：ライトヘビー級～,Bee My Honey,“阿卡狄亚登天斗技场 轻量级2”获得,58,7,2619647307,2
Burning Souls ～至天の座アルカディア：ライトヘビー級～,Burning Souls,“阿卡狄亚登天斗技场 轻量级3”获得,59,7,3062239033,3
Give it All ～至天の座アルカディア：ライトヘビー級～,Give it All,“阿卡狄亚登天斗技场 轻量级3”获得,60,7,3062181038,3
A Risky Bet ～至天の座アルカディア：ライトヘビー級～,A Risky Bet,“零式阿卡狄亚登天斗技场 轻量级4”获得,61,7,3062220024,3
金煌なる民 ～トライヨラ：昼～,金曦之民,图莱尤拉交换,48,2,2623747987,2
星なき摩天楼 ～ソリューション?ナイン～,没有星星的摩天楼,九号解决方案交换,49,2,3062153042,3
山峡の涼風 ～オルコ?パチャ：昼～,山峡凉风,奥阔帕恰山交换,50,2,2623748794,2
極彩色の羽根 ～コザマル?カ：昼～,艳彩的羽翼,克扎玛乌卡湿地交换,51,2,3062212033,3
空と森の境界 ～ヤクテル樹海：昼～,天空与森林的交界,亚克特尔树海交换,52,2,2619647308,2
硝煙に青炎 ～シャーローニ荒野：昼～,青烟弥漫,夏劳尼荒野交换,53,2,3062219036,3
迸る雷光 ～ヘリテージファウンド：昼～,暗天雷光,遗产之地交换,54,2,3062198042,3
遠き日の思い出,久远的记忆,特定地区交换,55,2,3062230022,3
愉快な暮らし,愉快的生活,任务报酬,56,2,3062215035,3
積み重ねる日々,繁忙的日常,任务报酬,57,2,3062223049,3
荒野に生きる人々,行于荒野,任务报酬,58,2,2618757167,2
心躍る駆け引き,心潮澎湃,图莱尤拉交换,59,2,3062207036,3
路を遮るもの,此路不通,寻宝获得,43,4,3062223048,3
路を拓くもの,路を拓くもの,“加加财富天坑”获得,44,4,2623748795,2
Dawntrail,曦光旅路,任务报酬,68,9,3062231023,3
Smile,微笑,任务报酬,69,9,2623748796,2
地底湖の水滴,地下湖的水滴,潜水艇探索获得,15,8,3062181035,3
技師の工房,技师工房,潜水艇探索获得,16,8,3062251016,3
Flow（Fan Fest）,生如归流（嘉年华版）,道具商城购买或者作为商品附加特典道具获得,79,12,3062160062,3
Endwalker – Footfalls（Fan Fest）,终途旅人 - 足迹（嘉年华版）,道具商城购买或者作为商品附加特典道具获得,80,12,3062241035,3
